k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	199	0	-0.30	-0.45	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	200	1	+0.19	+0.05	+0.40	+0.60	+0.00	+1.00	1	1	NaN	1
0	201	0	-0.92	-0.83	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	202	0	-0.84	-0.73	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	203	0	-0.07	-0.30	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
0	204	0	-0.40	-0.74	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	205	0	-0.46	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	206	1	+0.78	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	207	1	+0.19	-0.01	+0.52	+0.48	+1.00	+0.00	0	0	NaN	0
0	208	1	+0.40	+0.16	+0.22	+0.78	+0.00	+1.00	1	1	NaN	1
0	209	0	-0.31	-0.24	+0.89	+0.11	+1.00	+0.00	0	0	NaN	1
0	210	0	-0.95	-1.08	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	211	1	+0.85	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	212	0	-0.76	-0.58	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	213	0	-0.84	-0.74	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
0	214	1	+0.02	-0.12	+0.73	+0.27	+1.00	+0.00	0	0	NaN	0
0	215	1	+0.59	+1.23	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
0	216	1	+0.51	+0.63	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	217	0	-0.94	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	218	1	+0.11	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
0	219	0	-0.22	-0.23	+0.88	+0.12	+1.00	+0.00	0	0	NaN	1
0	220	1	+0.76	+0.98	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	221	0	-0.30	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	222	1	+0.90	+0.76	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	223	0	-0.98	-0.68	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	224	1	+0.04	-0.41	+0.98	+0.02	+1.00	+0.00	0	0	NaN	0
0	225	1	+0.46	+0.21	+0.15	+0.85	+0.00	+1.00	1	1	NaN	1
0	226	0	-0.40	-0.48	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	227	1	+0.92	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	228	1	+0.77	+0.82	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	229	1	+0.99	+1.20	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	230	0	-0.61	-0.87	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	231	1	+0.44	+0.56	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	232	1	+0.20	+0.01	+0.48	+0.52	+0.00	+1.00	1	1	NaN	1
0	233	1	+0.80	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
0	234	1	+0.50	+0.61	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	235	0	-0.16	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	236	0	-0.12	-0.05	+0.60	+0.40	+1.00	+0.00	0	0	NaN	1
0	237	1	+0.89	+0.84	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	238	1	+0.62	+0.39	+0.03	+0.97	+0.00	+1.00	1	0	NaN	0
0	239	1	+0.91	+1.03	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	240	0	-0.03	-0.14	+0.75	+0.25	+1.00	+0.00	0	0	NaN	1
0	241	1	+0.39	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	242	1	+0.62	+0.36	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
0	243	0	-0.32	-0.63	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	244	0	-0.53	-0.61	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	245	1	+0.40	+0.22	+0.14	+0.86	+0.00	+1.00	1	1	NaN	1
0	246	0	-0.30	-0.30	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
0	247	0	-0.79	-0.46	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	248	1	+0.91	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	249	1	+0.85	+0.92	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	250	1	+0.68	+0.54	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	251	0	-0.47	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	252	0	-0.92	-0.86	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	253	0	-0.77	-0.69	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	254	1	+0.09	-0.05	+0.60	+0.40	+1.00	+0.00	0	0	NaN	0
0	255	0	-0.35	-0.26	+0.91	+0.09	+1.00	+0.00	0	0	NaN	1
0	256	1	+0.08	+0.14	+0.24	+0.76	+0.00	+1.00	1	1	NaN	1
0	257	0	-0.83	-1.03	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	258	0	-0.76	-0.68	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	259	0	-0.74	-0.82	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
0	260	1	+0.97	+0.98	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	261	1	+0.58	+0.86	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
0	262	0	-0.02	-0.03	+0.55	+0.45	+1.00	+0.00	0	0	NaN	1
0	263	1	+0.05	+0.23	+0.12	+0.88	+0.00	+1.00	1	1	NaN	1
0	264	0	-0.48	-0.64	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	265	0	-0.71	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	266	0	-0.69	-0.48	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	267	0	-0.73	-0.55	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	268	1	+0.28	+0.19	+0.17	+0.83	+0.00	+1.00	1	1	NaN	1
0	269	1	+0.57	+0.80	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	270	1	+0.75	+0.58	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	271	0	-0.70	-1.13	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	272	1	+0.39	+0.30	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
0	273	1	+0.21	+0.24	+0.11	+0.89	+0.00	+1.00	1	1	NaN	1
0	274	1	+0.52	+0.19	+0.18	+0.82	+0.00	+1.00	1	0	NaN	0
0	275	0	-0.31	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
0	276	1	+0.24	+0.53	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	277	0	-1.00	-1.11	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	278	1	+0.92	+1.13	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	279	0	-0.26	-0.20	+0.84	+0.16	+1.00	+0.00	0	0	NaN	1
0	280	0	-0.97	-1.35	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
0	281	1	+0.75	+0.98	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	282	1	+0.93	+1.07	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	283	0	-0.77	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	284	1	+0.60	+0.82	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	285	0	-0.51	-0.51	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	286	1	+0.38	+0.12	+0.27	+0.73	+0.00	+1.00	1	1	NaN	1
0	287	0	-0.36	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
0	288	0	-0.70	-0.65	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	289	1	+0.11	+0.14	+0.24	+0.76	+0.00	+1.00	1	1	NaN	1
0	290	0	-0.90	-0.88	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	291	0	-0.48	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	292	0	-0.09	+0.02	+0.46	+0.54	+0.00	+1.00	1	1	NaN	0
0	293	1	+0.69	+0.50	+0.01	+0.99	+0.00	+1.00	1	0	NaN	0
0	294	0	-0.26	-0.36	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
0	295	1	+0.79	+0.99	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
